#This file contains experimental data.
#File written at Fri Aug  5 02:21:30 EDT 2016.
#ZTIME,LON,LAT,WSR_ID,CELL_ID,CELL_TYPE,RANGE,AZIMUTH,AVGDV,LLDV,MXDV,MXDV_HEIGHT,DEPTH,BASE,TOP,MAX_SHEAR,MAX_SHEAR_HEIGHT
20160701001446,-114.75572,35.72374,KLAS,P0,TVS,28,154,34,55,55,3,7.3,2.9,10.2,31,2.9
20160701002035,-103.49834,39.25536,KGLD,D1,TVS,84,266,36,67,67,9,7.5,9.4,16.9,13,9.4
20160701002035,-102.77097,39.55343,KGLD,I0,TVS,51,283,25,68,68,5,21.9,4.5,26.5,21,4.5
20160701002520,-102.76212,39.58232,KGLD,I0,TVS,51,285,30,57,57,5,15.5,4.5,20,18,4.5
20160701003007,-102.05419,39.29787,KGLD,O3,ETVS,17,256,30,82,82,10,21.7,9.5,31.2,76,9.5
20160701003007,-102.75197,39.61096,KGLD,I0,TVS,51,287,29,61,61,5,19.9,4.5,24.4,19,4.5
20160701003454,-101.96662,39.19875,KGLD,O3,ETVS,16,231,50,148,148,3,13,3.2,16.2,151,3.2
20160701003454,-102.67255,39.50934,KGLD,I0,TVS,46,281,40,92,92,4,19.4,4.2,23.6,32,4.2
20160701003454,-102.71562,39.58785,KGLD,I0,TVS,49,286,40,115,115,4,20.1,4.4,24.5,37,4.4
20160701003454,-102.73128,39.60626,KGLD,X5,TVS,50,287,28,59,59,5,21,4.6,25.6,19,4.6
20160701003941,-101.97036,39.20239,KGLD,O3,ETVS,16,232,30,68,68,11,10.4,10.8,21.2,68,10.8
20160701003941,-102.66186,39.54864,KGLD,I0,TVS,46,284,56,118,118,4,6.4,3.9,10.4,41,3.9
20160701004428,-101.93135,39.19298,KGLD,O3,ETVS,15,226,41,73,73,3,5.6,3,8.6,78,3
20160701004428,-102.64090,39.54478,KGLD,I0,TVS,45,284,28,74,74,4,27.1,3.8,30.9,26,3.8
20160701004442,-114.80629,35.87204,KLAS,N1,TVS,19,149,38,53,53,2,5.3,1.9,7.1,44,1.9
20160701005400,-103.04488,38.43987,KGLD,N6,TVS,84,229,27,57,57,10,6.8,9.8,16.6,11,9.8
20160701010240,-114.94995,35.81347,KLAS,Z1,TVS,20,172,56,89,89,2,5.7,1.9,7.6,72,1.9
20160701010240,-114.83192,35.82371,KLAS,Z1,TVS,21,156,36,31,84,8,5.4,2.1,7.5,65,7.5
20160701010240,-114.95564,35.84652,KLAS,Z1,TVS,18,172,65,88,88,2,5,1.7,6.7,79,1.7
20160701010334,-102.46880,39.43764,KGLD,D7,TVS,36,277,32,66,66,3,5.2,2.8,8,29,2.8
20160701011438,-114.83047,35.78798,KLAS,Z1,TVS,23,158,67,91,91,2,6.2,2.4,8.5,62,2.4
20160701011438,-114.87352,35.82834,KLAS,Z1,TVS,20,161,47,80,80,2,5.4,1.9,7.3,65,1.9
20160701012038,-114.82287,35.79054,KLAS,Z1,TVS,23,157,55,73,75,9,6.2,2.3,8.5,53,8.5
20160701012237,-102.00091,39.10631,KGLD,P7,ETVS,21,222,31,69,69,6,15.2,5.6,20.8,53,5.6
20160701012637,-114.73270,35.77176,KLAS,??,TVS,26,149,44,68,68,3,7.3,2.6,9.9,42,2.6
20160701013236,-114.76859,35.79346,KLAS,T2,TVS,24,151,53,87,87,2,6.9,2.4,9.4,58,2.4
20160701013236,-114.80040,35.79883,KLAS,T2,TVS,23,154,69,95,95,2,6.4,2.3,8.7,67,2.3
20160701013310,-102.17665,35.21870,KAMA,P1,TVS,23,268,56,82,92,4,5.2,1.5,6.7,61,3.7
20160701014600,-101.89219,39.01371,KGLD,P7,ETVS,23,203,33,55,69,16,7.5,12.6,20.1,48,15.7
20160701020504,-101.90881,38.98297,KGLD,P7,TVS,25,203,51,27,119,9,16.3,1.7,18,78,8.5
20160701090330,-84.54439,42.14652,KDTW,H5,TVS,46,273,50,68,68,2,9.5,2,11.4,24,2
20160701093636,-84.23380,41.68791,KDTW,W8,TVS,41,232,47,59,65,5,8.4,1.6,10,26,10
20160701132847,-110.35484,34.97171,KFSX,A4,TVS,48,60,38,54,54,4,9.2,4.1,13.3,18,13.3
